"site_reach","site","field_date","sample_type","anabaena_and_cylindrospermum","ankistrodesmus","aphanothece","calothrix","chantransia","chroococcus","cladophora","closterium","coelastrum","cosmarium","desmodesmus_spines","epithemia","euglenoid","geitlerinema","gloeocystis","gloeotrichia","homoeothrix","lacunastrum","leptolyngbya","lyngbya","microcoleus","mougeotia","non_e_r_diatoms","nostoc","oedogonium","oocystis","oscillatoria","other_coccoids","pediastrum","phormidium_unknown","rhopalodia","rivularia","scenedesmus_no_spines","scytonema","spirogyra","stauridium","stigeoclonium","tetraedron","tolypothrix","ulothrix","unknown","unknown_green_algae","zygnema","pH","temp_C","DO_mg_L","cond_uS_cm","oPhos_ug_P_L","nitrate_mg_N_L","ammonium_mg_N_L","assumed_pH","TDC_mg_L","DOC_mg_L","Cl_mg_L","SO4_mg_L","Br_mg_L","Na_mg_L","K_mg_L","Mg_mg_L","Ca_mg_L","TM_ATX_all_ug_chla_ug","TM_ATX_all_ug_orgmat_g","TAC_ATX_all_ug_chla_ug","TAC_ATX_all_ug_orgmat_g"
"RUS-1S","RUS","2022-06-24","NT",0,0,0,0,0,0,13.3779264214047,0,0,0,0.501672240802675,5.85284280936455,0,0,0,0,0.0418060200668896,0,4.59866220735786,0,0,3.34448160535117,28.0100334448161,0,10.0334448160535,0,0,3.76254180602007,0,0,0,0,0.125418060200669,0,22.1571906354515,0,8.19397993311037,0,0,0,0,0,0,NA,24.82,9.052,NA,5.026,0.016,0.00253,8.07,17.82,2.994,7.5,14.45,0.11,11.17,1.23,16.45,11.21,NA,NA,NA,NA
"RUS-1S","RUS","2022-07-06","NT",0,0,0,0,0,0,24.8550724637681,0,0,0,0,13.768115942029,0,0.36231884057971,0.036231884057971,0,0,0,5.79710144927536,0.036231884057971,0,5.43478260869565,25,0,10.8695652173913,0,0,1.08695652173913,0,0,0,0,0.072463768115942,0,11.5942028985507,0,1.08695652173913,0,0,0,0,0,0,NA,21.4,9.181,266.1,11.092,0.008,0.00637,8.07,24.45,3.858,5.6,10.2,0.09,8.17,0.97,12.4,11.67,NA,NA,NA,NA
"RUS-1S","RUS","2022-07-20","NT",6.2962962962963,0,0,0,0,0,9.25925925925926,0,0,0,0.740740740740741,12.5925925925926,0,2.59259259259259,0,0,0.0740740740740741,0,1.85185185185185,0,0.037037037037037,3.7037037037037,16.6666666666667,0,9.25925925925926,0,0,2.96296296296296,0,0,5.18518518518519,0,0.740740740740741,0,24.7037037037037,0,3.33333333333333,0,0,0,0,0,0,NA,22.22,9.587,265.7,7.841,0.017,0.00625,8.07,19.15,2.066,6.92,12.31,0.11,10.43,1.16,15.15,12.63,NA,NA,0,0
"RUS-1S","RUS","2022-08-02","NT",0.32520325203252,0,0,0,0,0.5420054200542,0,0,0,0,0.29810298102981,10.2981029810298,0,1.6260162601626,0,0,0.02710027100271,0,1.6260162601626,0.32520325203252,0,3.2520325203252,13.550135501355,0,7.31707317073171,0,0,1.3550135501355,0,0,4.6070460704607,0,0,0,52.1138211382114,0,2.73712737127371,0,0,0,0,0,0,8.07,21.8,8.493,251.5,6.961,0.009,0.00484,8.07,24.76,2.299,6.48,11.66,0.1,9.96,1.16,14.76,12,NA,NA,3.09e-05,0.2965879
"RUS-1S","RUS","2022-08-17","NT",2.45231607629428,0,0,0,0,1.11716621253406,2.99727520435967,0,0,0,0.0272479564032698,6.26702997275204,0,1.63487738419619,0,0,1.93460490463215,0,3.54223433242507,0.0817438692098093,0,8.71934604904632,20.9536784741144,0,13.6239782016349,0,0,1.63487738419619,0,0,2.72479564032698,0,0.0544959128065395,0,28.4196185286104,0,3.81471389645777,0,0,0,0,0,0,8.22,22.7,8.052,261.1,6.912,0.016,0.03339,8.22,23.23,2.429,6.55,11.43,0.13,10.01,1.14,14.42,14.87,NA,NA,0,0
"RUS-1S","RUS","2022-09-01","NT",7.73809523809524,0,0,0,0,0.892857142857143,0,0,0,0,0.0297619047619048,9.22619047619048,0,2.38095238095238,0,0,0,0,2.08333333333333,0.625,0.0595238095238095,6.8452380952381,13.6904761904762,0,9.22619047619048,0,0.0892857142857143,1.19047619047619,0,0.357142857142857,3.27380952380952,0,0.0297619047619048,0,42.2619047619048,0,0,0,0,0,0,0,0,8.03,20.53,8.643,235.3,8.68,0.009,0.00842,8.03,18.58,1.889,6.41,11.25,0.08,9.92,1.13,14.39,15.91,NA,NA,0.0001988,1.291464
"RUS-1S","RUS","2022-09-15","NT",9.7629009762901,0,0.464900046490005,0,0.116225011622501,0,23.3147373314737,0,0,0,0.185960018596002,9.9953509995351,0,2.78940027894003,0.0232450023245002,0,0,0,0.255695025569503,6.50860065086006,0.0464900046490005,3.48675034867503,8.83310088331009,0,0.464900046490005,0.162715016271502,1.16225011622501,3.02185030218503,0,0.0232450023245002,2.55695025569503,0,0,0,26.0111576011158,0,0.813575081357508,0,0,0,0,0,0,7.98,18.757,8.853,NA,10.95,0.011,0.00783,7.98,20.66,1.924,6.25,10.82,0.12,9.8,1.14,14.1,15.5,NA,NA,0.0003586,4.1992188
"RUS-2","RUS","2022-07-06","NT",0.0355871886120996,0,0,0,0,0,0,0,0,0,0,8.54092526690392,0,1.42348754448399,0.0355871886120996,0,0.0355871886120996,0,0.711743772241993,0,0,8.89679715302491,12.4555160142349,0,7.11743772241993,0,0,1.06761565836299,0,0,0,0,0.747330960854093,0,58.932384341637,0,0,0,0,0,0,0,0,NA,22.84,9.346,267.2,6.807,0.0095,0.0057,8.25,21.89,2.279,7.15,12.98,0.12,10.63,1.17,15.57,12.62,NA,NA,NA,NA
"RUS-2","RUS","2022-07-20","NT",0,0.0268096514745308,0,0,0,0,5.36193029490617,0,0,0,0.0268096514745308,7.23860589812332,0,1.34048257372654,0,0,1.34048257372654,0,1.87667560321716,0.0268096514745308,0,2.68096514745308,9.6514745308311,0,8.57908847184987,0,0,1.07238605898123,0,0,1.87667560321716,0,0.0536193029490617,0,54.8257372654156,0,4.02144772117962,0,0,0,0,0,0,NA,23.75,9.567,267.8,9.59,0.009,0.00411,8.25,21.59,2.118,6.84,12.14,0.11,10.37,1.17,15.08,13.04,NA,NA,0,0
"RUS-2","RUS","2022-08-02","NT",1.11731843575419,0,0,0,0,0,1.67597765363128,0,0,0,0.474860335195531,8.65921787709497,0,0.837988826815642,0,0,0.0558659217877095,0,4.46927374301676,0.837988826815642,0.0279329608938548,5.8659217877095,10.6145251396648,0,13.1284916201117,0,0,1.67597765363128,0,0,0.837988826815642,0,0.391061452513967,0,31.731843575419,0,17.5977653631285,0,0,0,0,0,0,8.25,23.41,9.734,255.9,9.735,0.01,0.01246,8.25,23.05,2.26,6.33,11.35,0.1,9.75,1.15,14.62,9.17,NA,NA,0,0
"RUS-2","RUS","2022-08-17","NT",1.91570881226054,0,0,0,0,0,0,0,0,0,0.0383141762452107,8.81226053639847,0.0383141762452107,0.383141762452107,0,0,0,0,0.766283524904214,0.0383141762452107,0,8.42911877394636,7.27969348659004,0,0,0,0,2.68199233716475,0,0,4.21455938697318,0,0.0766283524904215,0,55.7471264367816,0,9.57854406130268,0,0,0,0,0,0,8.27,23.53,9.426,262.6,9.835,0.015,0.01541,8.27,21.52,2.416,6.54,11.62,0.14,10.08,1.13,14.24,18.13,NA,NA,0,0
"RUS-2","RUS","2022-09-01","NT",7.63636363636364,0,0,0,0,0.0363636363636364,6.18181818181818,0,0,0,0.0363636363636364,13.8181818181818,0,0.727272727272727,0,0,0.109090909090909,0,2.18181818181818,0.0727272727272727,0.0363636363636364,8.72727272727273,18.0727272727273,0,10.9090909090909,0,0.0727272727272727,1.09090909090909,0.0363636363636364,0.0363636363636364,5.45454545454545,0,0.0727272727272727,0,18.1090909090909,0,6.58181818181818,0,0,0,0,0,0,8.27,22.69,9.426,241.7,8.5965,0.01,0.00747,8.27,16.87,1.8245,5.385,9.385,0.09,8.285,0.975,12.41,12.445,NA,NA,8.38e-05,0.7018993
"RUS-2","RUS","2022-09-15","NT",11.6104868913858,0,0.0374531835205993,0,1.87265917602996,0,6.74157303370786,0,0,0,0.187265917602996,11.2359550561798,0,1.12359550561798,0,0,2.62172284644195,0,2.24719101123596,1.53558052434457,0.374531835205992,4.8689138576779,17.2284644194757,0,5.99250936329588,0,0.0374531835205993,2.62172284644195,0,0.0374531835205993,5.2434456928839,0,0.187265917602996,0,22.3220973782772,0,1.87265917602996,0,0,0,0,0,0,8.19,19.924,10.005,NA,11.203,0.012,0.00885,8.19,21.76,2.06,5.91,10.45,0.12,9.29,1.08,13.5,15.05,NA,NA,0,0
"RUS-3","RUS","2022-07-07","NT",0.0282485875706215,0,0,0,0,0,4.80225988700565,0,0,0,0.0282485875706215,10.1694915254237,0,1.69491525423729,0,0,0,0,2.82485875706215,0,0,4.23728813559322,22.0338983050847,0,4.23728813559322,0,0,1.12994350282486,0,0,0,0,1.12994350282486,0,45.9887005649718,0,1.69491525423729,0,0,0,0,0,0,NA,23.76,11.759,267.1,9.202,0.012,0.006,8.4,23.3,2.893,7.15,12.93,0.13,10.61,1.13,14.97,18.1,NA,NA,NA,NA
"RUS-3","RUS","2022-07-20","NT",0.0279329608938548,0,0,0,1.95530726256983,0,3.91061452513966,0,0,0,0,1.95530726256983,0,1.39664804469274,0,0,0.0558659217877095,0,2.51396648044693,0.0558659217877095,0.279329608938547,0,23.463687150838,0,4.46927374301676,0,0,1.39664804469274,0,0,0,0,0.111731843575419,0,58.3798882681564,0,0,0.0279329608938548,0,0,0,0,0,NA,24.68,11.067,266.2,9.796,0.009,0.00245,8.4,19.84,2.171,6.84,12.19,0.13,10.37,1.18,14.77,14.1,NA,NA,0,0
"RUS-3","RUS","2022-08-02","NT",0.0604229607250755,0,0,0,0,0,1.51057401812689,0,0,0,0.0302114803625378,4.53172205438066,0,0.906344410876133,0,0,0.0302114803625378,0,1.51057401812689,0.0302114803625378,0.0302114803625378,2.41691842900302,24.773413897281,0,1.81268882175227,0,0,1.20845921450151,0,0,0,0,0.302114803625378,0,60.8459214501511,0,0,0,0,0,0,0,0,8.4,24.27,13.04,255.9,7.386,0.007,0.00721,8.4,20.09,2.391,6.25,11.25,0.1,9.67,1.15,14.35,10.05,NA,NA,0,0
"RUS-3","RUS","2022-08-17","NT",1.48367952522255,0,0,0,0,0.29673590504451,2.07715133531157,0,0,0,0.0593471810089021,7.71513353115727,0,1.78041543026706,0,0,0.029673590504451,0.029673590504451,2.9673590504451,0.029673590504451,0.029673590504451,5.04451038575668,16.3204747774481,0,6.82492581602374,0,0.029673590504451,1.48367952522255,0,0.0593471810089021,2.9673590504451,0,0.0890207715133531,0,40.2967359050445,0,10.3857566765579,0,0,0,0,0,0,8.53,24.33,10.854,236.8,6.809,0.02,0.00691,8.53,21.42,2.102,6.46,11.24,0.12,9.83,1.11,13.99,13.07,NA,NA,4.89e-05,0.7170717
"RUS-3","RUS","2022-09-01","NT",6.98795180722891,0,0,0,0.481927710843374,0.0240963855421687,1.20481927710843,0.0240963855421687,0,0,0,6.02409638554217,0,0.963855421686747,0,0,0.313253012048193,0,1.20481927710843,0,0.0481927710843374,5.06024096385542,12.289156626506,0,19.2771084337349,0,0.0240963855421687,2.65060240963855,0,0.0481927710843374,3.85542168674699,0,0.0240963855421687,0,38.5301204819277,0,0.963855421686747,0,0,0,0,0,0,8.56,22.8,10.743,239.6,8.284,0.011,0.00484,8.56,19.44,2.101,6.38,11.15,0.11,9.81,1.15,14.5,11.28,NA,NA,0.0007276,5.3172086
"RUS-3","RUS","2022-09-15","NT",0,0,0,0,0,0,12.6353790613718,0,0,0,0,4.69314079422383,0,0.36101083032491,0,0,0,0,0.397111913357401,0.036101083032491,1.11913357400722,2.52707581227437,6.13718411552347,0,0,0,0,1.08303249097473,0,1.48014440433213,0.36101083032491,0,0.036101083032491,0,68.0505415162455,0,1.08303249097473,0,0,0,0,0,0,8.36,20.066,11.202,NA,9.421,0.019,0.007685,8.36,19.33,2.061,6.18,10.55,0.12,9.73,1.13,13.79,14.87,NA,NA,0.0002667,2.1329935
"SAL-1S","SAL","2022-06-27","NT",3.36700336700337,0,0,0,0,0,0.336700336700337,0,0,0,0.336700336700337,0.336700336700337,0,0,0,0,13.8047138047138,0,13.4680134680135,0,0,0,43.7710437710438,0,0,0,0,23.5690235690236,0,0,0,0,0,0,0,0,0.336700336700337,0,0,0,0,0.673400673400673,0,NA,19.81,9.442,NA,7.768,0.0145,0.01313,7.72,6.516,2.913,0.52,1.65,0.02,1.02,0.32,1.88,10.58,NA,NA,NA,NA
"SAL-1S","SAL","2022-07-12","NT",0,0,0,0.04,0,0,0,0,0,0,0,0.04,0,34.12,0,0,1.2,0,12.8,3.2,41.6,0,4.4,0,0,0,0,1.2,0,0,0,0,0.2,0,0,0,1.2,0,0,0,0,0,0,NA,20.52,8.904,108.5,6.4415,0.026,0.01409,7.72,11.88,3.565,1.06,3.86,0.005,2.39,0.68,3.43,16.76,0,0,NA,NA
"SAL-1S","SAL","2022-07-26","NT",0,0,0,0,0,0,0,0,0,0,0.0478468899521531,0,0,0.478468899521531,0,0,2.39234449760766,0,0.239234449760766,0,90.7416267942584,0,4.06698564593301,0,0,0,0,1.69856459330144,0,0,0,0,0.0239234449760766,0,0,0,0.287081339712919,0,0,0,0,0.0239234449760766,0,NA,21.41,8.59,121.2,7.264,0.011,0.00743,7.72,10.64,1.096,1.42,4.09,0.05,2.85,0.8,3.89,16.94,1.35e-05,0.1131544,NA,NA
"SAL-1S","SAL","2022-09-22","NT",0.571428571428571,0.0285714285714286,0,0,0,0.285714285714286,1.42857142857143,0,0.0285714285714286,0,0,8,0,1.42857142857143,0,0,0.0857142857142857,0,0,0,0.285714285714286,12.2857142857143,12,0,20.5714285714286,0.0285714285714286,0.0571428571428571,4,0,0,0,0,0.0285714285714286,0,38.0285714285714,0,0,0,0,0,0,0,0.857142857142857,7.72,16.59,NA,124,8.037,0.009,0.00876,7.72,9.426,0.3502,1.55,3.02,0.05,2.24,0.6,3.15,14,NA,NA,NA,NA
"SAL-1S","SAL","2023-06-28","NT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.7022332506203,0,0.496277915632754,0,54.590570719603,0,0,0,0,5.21091811414392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.81,16.1,9.22,82.7,4.96,0.026,0.00466,7.81,5.589,1.442,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SAL-1S","SAL","2023-07-13","NT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.5957446808511,0,0,0,69.1489361702128,0,0,0,0,3.72340425531915,0,0,0.531914893617021,0,0,0,0,0,0,0,0,0,0,0,0,7.81,18.7,9.12,100.1,4.702,0.009,0.004885,7.81,5.766,1.609,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"SAL-1S","SAL","2023-07-27","NT",0,0,0,0,0,0,0,0,0,0,0.198019801980198,0.198019801980198,0,0.198019801980198,0,0,0,0,7.92079207920792,0,35.6435643564356,0,53.4653465346535,0,0,0,0,2.37623762376238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.82,20.3,8.61,109.5,5.296,0.023,0.00477,7.82,7.566,0.957,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"SAL-1S","SAL","2023-08-10","NT",0,0,0,0,0,0,0,0,0,0,0.0508905852417303,0,0,0.0508905852417303,0,0,0.559796437659033,0,3.05343511450382,0,48.8549618320611,0,45.1908396946565,0,0,0,0,0.152671755725191,0,0,0,0,0,0,1.52671755725191,0,0.559796437659033,0,0,0,0,0,0,7.9,20.6,8.66,127.4,6.826,0.011,0.00339,7.9,6.123,0.543,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"SAL-2","SAL","2022-07-12","NT",0,0,0,0,0,1.09289617486339,0,0,0,0,0.546448087431694,1.09289617486339,0,10.9289617486339,0,0,16.9398907103825,0,0.546448087431694,0,0.546448087431694,0,60.1092896174863,0,0,0,0,6.55737704918033,0,0,0,0,0,0,0,0,1.63934426229508,0,0,0,0,0,0,NA,21.64,9.171,110.6,5.8,0.024,0.01026,8.35,7.347,0.7916,1.09,3.73,0.05,2.48,0.73,3.49,14.36,0,0,NA,NA
"SAL-2","SAL","2022-07-26","NT",0,0,0,0,0,0,16.900826446281,0,0,0,0.247933884297521,1.65289256198347,0,2.06611570247934,0,0,1.65289256198347,0,6.19834710743802,0.0413223140495868,41.3636363636364,3.71900826446281,18.1818181818182,0,2.89256198347107,0,0.0413223140495868,1.65289256198347,0,0,0.413223140495868,0,0.0413223140495868,0,0,0,2.89256198347107,0,0,0.0413223140495868,0,0,0,NA,21.52,9.069,120.6,5.851,0.011,0.008085,8.35,9.362,1.025,1.41,3.72,0.03,2.82,0.81,4.24,12.33,0,0,NA,NA
"SAL-2","SAL","2022-09-22","NT",0,0,0,0,0,0.027292576419214,15.0109170305677,0,0,0,0.027292576419214,14.4650655021834,0,1.09170305676856,0,0,0.354803493449782,0,3.27510917030568,0,0.027292576419214,10.0982532751092,21.0152838427948,0,8.10589519650655,0,0.027292576419214,1.63755458515284,0,0,3.54803493449782,0,0,0.027292576419214,20.9061135371179,0.054585152838428,0,0,0.027292576419214,0.27292576419214,0,0,0,8.35,18.25,NA,125.5,4.9905,0.014,0.01177,8.35,8.67,0.5491,2.27,4.47,0.05,3.32,0.91,4.43,13.51,NA,NA,NA,NA
"SAL-2","SAL","2023-06-28","NT",0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0,24,0,0,0,72,0,0,0,0,2.4,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0,7.82,16.8,9.07,82.6,4.899,0.041,0.00372,7.82,6.813,1.838,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
